code_module,code_presentation,id_student,gender,region,highest_education,imd_band,age_band,num_of_prev_attempts,studied_credits,disability,final_result
BBB,2014B,1,M,Wales,A Level or Equivalent,20-30%,55<=,2,90,N,Fail
EEE,2014B,2,F,North Region,A Level or Equivalent,40-50%,0-35,1,150,N,Pass
DDD,2013J,2,M,South East Region,Post Graduate Qualification,20-30%,55<=,0,90,N,Fail
CCC,2014B,3,F,South East Region,HE Qualification,90-100%,0-35,1,120,N,Fail
BBB,2014B,4,M,South Region,A Level or Equivalent,70-80%,35-55,1,60,N,Distinction
AAA,2014B,4,F,Scotland,A Level or Equivalent,30-40%,35-55,2,120,Y,Pass
DDD,2014B,5,F,East Midlands Region,Post Graduate Qualification,80-90%,0-35,2,150,Y,Withdrawn
AAA,2014B,5,M,West Midlands Region,Lower Than A Level,20-30%,0-35,2,90,N,Distinction
EEE,2014B,6,F,Scotland,HE Qualification,60-70%,55<=,1,150,N,Fail
BBB,2013J,7,F,North Western Region,HE Qualification,40-50%,35-55,2,90,N,Pass
BBB,2014B,8,M,East Anglian Region,Post Graduate Qualification,30-40%,35-55,0,150,N,Pass
EEE,2013J,8,F,South West Region,Lower Than A Level,20-30%,35-55,1,60,N,Fail
AAA,2013J,9,F,South East Region,Post Graduate Qualification,80-90%,55<=,1,30,N,Fail
CCC,2013J,9,F,East Midlands Region,Lower Than A Level,60-70%,35-55,2,30,N,Fail
BBB,2014B,10,F,West Midlands Region,HE Qualification,30-40%,0-35,1,30,N,Pass
AAA,2013J,10,F,North Western Region,HE Qualification,40-50%,0-35,0,90,N,Pass
BBB,2013J,11,F,Scotland,No Formal quals,90-100%,35-55,2,120,Y,Pass
CCC,2013J,11,M,North Region,No Formal quals,30-40%,35-55,1,90,N,Fail
AAA,2013J,12,M,South Region,Post Graduate Qualification,30-40%,55<=,1,90,N,Pass
CCC,2014B,13,M,Scotland,HE Qualification,80-90%,0-35,1,60,N,Fail
CCC,2013J,14,F,Wales,No Formal quals,60-70%,0-35,0,90,N,Fail
BBB,2014B,14,F,North Region,HE Qualification,70-80%,55<=,0,120,N,Fail
BBB,2014B,15,F,Scotland,A Level or Equivalent,50-60%,55<=,0,30,N,Distinction
BBB,2013J,16,F,East Anglian Region,Post Graduate Qualification,20-30%,35-55,2,150,N,Withdrawn
AAA,2013J,16,F,Wales,HE Qualification,0-10%,0-35,0,90,N,Fail
CCC,2014B,17,M,North Region,Lower Than A Level,80-90%,0-35,0,30,N,Pass
EEE,2014B,17,M,South Region,No Formal quals,40-50%,55<=,0,90,N,Pass
AAA,2014B,18,F,North Region,A Level or Equivalent,90-100%,35-55,1,30,N,Distinction
AAA,2013J,19,F,East Midlands Region,No Formal quals,90-100%,55<=,0,120,N,Fail
DDD,2014B,19,F,North Western Region,Post Graduate Qualification,10-20%,35-55,2,90,N,Pass
CCC,2014B,20,F,North Region,Lower Than A Level,40-50%,0-35,0,120,N,Fail
CCC,2013J,21,M,West Midlands Region,Post Graduate Qualification,10-20%,35-55,1,90,N,Pass
AAA,2014B,21,F,South West Region,A Level or Equivalent,40-50%,35-55,0,30,N,Distinction
EEE,2014B,22,F,East Midlands Region,No Formal quals,40-50%,0-35,0,150,N,Pass
DDD,2014B,22,F,North Western Region,No Formal quals,50-60%,0-35,0,120,Y,Distinction
EEE,2014B,23,M,South West Region,Post Graduate Qualification,0-10%,35-55,1,150,N,Fail
CCC,2013J,23,F,Scotland,Post Graduate Qualification,90-100%,35-55,2,60,N,Pass
AAA,2013J,24,F,London Region,Post Graduate Qualification,70-80%,35-55,2,120,N,Fail
BBB,2013J,25,F,South East Region,Lower Than A Level,10-20%,0-35,2,60,N,Distinction
AAA,2014B,26,F,North Western Region,HE Qualification,60-70%,35-55,0,60,N,Withdrawn
CCC,2014B,26,M,Wales,No Formal quals,80-90%,35-55,0,30,N,Pass
EEE,2014B,27,F,South West Region,No Formal quals,0-10%,55<=,0,30,N,Pass
CCC,2013J,28,M,North Western Region,HE Qualification,30-40%,0-35,0,90,Y,Pass
EEE,2014B,29,M,Wales,Lower Than A Level,80-90%,55<=,0,120,N,Fail
AAA,2013J,29,M,Wales,A Level or Equivalent,90-100%,55<=,1,60,N,Withdrawn
AAA,2013J,30,F,South East Region,Post Graduate Qualification,0-10%,0-35,1,150,N,Pass
DDD,2013J,31,F,North Western Region,No Formal quals,0-10%,35-55,0,30,N,Pass
EEE,2013J,32,F,South East Region,Lower Than A Level,60-70%,35-55,2,150,Y,Pass
DDD,2014B,32,F,West Midlands Region,No Formal quals,80-90%,55<=,0,90,N,Withdrawn
CCC,2013J,33,F,Wales,A Level or Equivalent,40-50%,35-55,0,90,N,Pass
CCC,2013J,34,M,East Anglian Region,No Formal quals,50-60%,35-55,2,30,N,Withdrawn
CCC,2014B,35,F,South Region,A Level or Equivalent,70-80%,35-55,1,120,Y,Withdrawn
BBB,2014B,35,M,North Region,HE Qualification,80-90%,0-35,0,120,N,Pass
DDD,2013J,36,F,Wales,HE Qualification,10-20%,35-55,1,60,N,Pass
CCC,2014B,37,M,East Anglian Region,Lower Than A Level,40-50%,35-55,2,30,N,Fail
DDD,2013J,37,M,Scotland,HE Qualification,20-30%,55<=,0,150,Y,Withdrawn
DDD,2013J,38,M,South West Region,No Formal quals,40-50%,0-35,1,60,N,Pass
BBB,2014B,39,F,East Anglian Region,HE Qualification,70-80%,35-55,2,60,N,Pass
EEE,2014B,40,M,London Region,HE Qualification,0-10%,55<=,2,150,N,Fail
AAA,2014B,41,F,London Region,Lower Than A Level,10-20%,0-35,1,30,N,Pass
EEE,2013J,42,F,South East Region,HE Qualification,90-100%,0-35,0,60,N,Pass
BBB,2013J,43,M,South West Region,Lower Than A Level,50-60%,0-35,2,90,N,Withdrawn
AAA,2013J,43,F,North Western Region,Lower Than A Level,40-50%,0-35,1,120,N,Distinction
CCC,2014B,44,F,Scotland,HE Qualification,90-100%,0-35,2,30,Y,Pass
BBB,2014B,44,M,West Midlands Region,Lower Than A Level,0-10%,35-55,0,30,N,Withdrawn
AAA,2014B,45,F,South East Region,Lower Than A Level,70-80%,55<=,2,90,N,Pass
EEE,2014B,46,M,North Western Region,HE Qualification,60-70%,0-35,1,30,N,Distinction
BBB,2014B,47,M,South Region,A Level or Equivalent,20-30%,0-35,0,60,Y,Pass
CCC,2014B,47,M,West Midlands Region,HE Qualification,20-30%,35-55,0,150,N,Fail
BBB,2014B,48,M,East Midlands Region,HE Qualification,40-50%,35-55,0,120,N,Distinction
AAA,2014B,48,M,West Midlands Region,HE Qualification,60-70%,55<=,2,150,N,Distinction
AAA,2013J,49,F,North Region,HE Qualification,70-80%,35-55,2,30,N,Pass
BBB,2014B,49,M,Wales,A Level or Equivalent,50-60%,55<=,0,120,N,Distinction
DDD,2014B,50,M,London Region,Lower Than A Level,0-10%,35-55,1,60,N,Pass
AAA,2014B,50,M,West Midlands Region,A Level or Equivalent,30-40%,0-35,2,150,Y,Distinction
DDD,2013J,51,F,Scotland,No Formal quals,70-80%,55<=,0,60,N,Distinction
CCC,2013J,52,M,Wales,Post Graduate Qualification,20-30%,0-35,0,150,N,Fail
BBB,2014B,52,F,East Midlands Region,No Formal quals,90-100%,0-35,1,90,N,Pass
BBB,2013J,53,M,Scotland,No Formal quals,70-80%,55<=,2,90,N,Pass
EEE,2013J,54,M,South Region,Lower Than A Level,30-40%,0-35,1,30,N,Pass
EEE,2014B,55,M,London Region,A Level or Equivalent,0-10%,35-55,1,150,N,Fail
BBB,2014B,56,M,South Region,Post Graduate Qualification,10-20%,55<=,2,90,N,Pass
AAA,2013J,56,M,Wales,Post Graduate Qualification,90-100%,35-55,1,60,N,Pass
EEE,2014B,57,F,London Region,Post Graduate Qualification,30-40%,0-35,0,60,N,Pass
DDD,2013J,58,F,London Region,HE Qualification,40-50%,0-35,1,120,N,Withdrawn
BBB,2013J,59,M,Wales,HE Qualification,90-100%,0-35,0,60,N,Pass
AAA,2013J,60,F,London Region,A Level or Equivalent,0-10%,55<=,2,120,N,Pass
CCC,2013J,61,M,London Region,A Level or Equivalent,10-20%,0-35,0,30,N,Distinction
EEE,2013J,62,M,East Anglian Region,No Formal quals,60-70%,55<=,2,90,N,Pass
BBB,2013J,62,M,West Midlands Region,Lower Than A Level,10-20%,0-35,1,90,N,Pass
EEE,2013J,63,M,South Region,HE Qualification,70-80%,0-35,2,90,N,Pass
CCC,2014B,63,F,East Anglian Region,Post Graduate Qualification,10-20%,55<=,0,30,N,Pass
DDD,2014B,64,M,Wales,Lower Than A Level,20-30%,0-35,2,60,N,Withdrawn
EEE,2013J,65,F,South West Region,A Level or Equivalent,60-70%,35-55,2,30,N,Distinction
BBB,2013J,65,M,South Region,No Formal quals,10-20%,35-55,0,150,N,Pass
AAA,2014B,66,M,Wales,HE Qualification,10-20%,0-35,2,120,N,Fail
BBB,2013J,66,F,West Midlands Region,Lower Than A Level,60-70%,0-35,1,90,N,Fail
BBB,2014B,67,F,London Region,Post Graduate Qualification,90-100%,35-55,0,150,N,Fail
DDD,2014B,67,F,Wales,A Level or Equivalent,30-40%,0-35,1,60,N,Fail
EEE,2014B,68,M,London Region,HE Qualification,50-60%,55<=,1,120,N,Pass
BBB,2014B,68,M,East Anglian Region,A Level or Equivalent,40-50%,35-55,1,60,N,Fail
AAA,2013J,69,M,London Region,Lower Than A Level,30-40%,0-35,2,90,N,Pass
CCC,2014B,70,M,South Region,Lower Than A Level,20-30%,55<=,0,90,N,Pass
BBB,2014B,70,F,Wales,HE Qualification,80-90%,0-35,0,30,N,Pass
DDD,2014B,71,F,North Western Region,A Level or Equivalent,20-30%,0-35,2,90,N,Fail
EEE,2014B,72,M,West Midlands Region,No Formal quals,0-10%,55<=,0,30,N,Fail
CCC,2013J,73,F,South East Region,HE Qualification,60-70%,35-55,0,60,N,Distinction
DDD,2013J,74,M,Scotland,Post Graduate Qualification,60-70%,55<=,1,90,N,Distinction
EEE,2013J,75,M,London Region,A Level or Equivalent,60-70%,55<=,2,30,N,Fail
CCC,2014B,76,F,Scotland,Lower Than A Level,90-100%,35-55,1,90,N,Pass
AAA,2014B,77,M,East Anglian Region,No Formal quals,40-50%,0-35,2,30,N,Pass
BBB,2013J,77,F,Wales,HE Qualification,0-10%,55<=,0,60,N,Pass
CCC,2013J,78,M,East Anglian Region,HE Qualification,70-80%,55<=,1,150,N,Distinction
EEE,2013J,79,M,South Region,Post Graduate Qualification,70-80%,0-35,2,150,N,Distinction
DDD,2013J,79,F,East Midlands Region,A Level or Equivalent,80-90%,0-35,1,90,N,Fail
DDD,2014B,80,M,London Region,A Level or Equivalent,20-30%,35-55,1,30,N,Fail
