code_module,code_presentation,id_student,id_site,date,sum_click
BBB,2014B,1,68,57,1
BBB,2014B,1,63,73,3
BBB,2014B,1,67,176,3
BBB,2014B,1,76,53,9
BBB,2014B,1,79,193,4
BBB,2014B,1,67,114,8
BBB,2014B,1,76,177,9
BBB,2014B,1,75,153,6
BBB,2014B,1,72,83,4
BBB,2014B,1,76,65,3
BBB,2014B,1,74,191,7
BBB,2014B,1,76,85,9
BBB,2014B,1,65,33,5
BBB,2014B,1,77,46,7
BBB,2014B,1,77,146,5
BBB,2014B,1,72,195,3
BBB,2014B,1,61,95,7
BBB,2014B,1,73,183,9
BBB,2014B,1,66,19,1
BBB,2014B,1,72,111,7
BBB,2014B,1,71,3,2
BBB,2014B,1,67,232,8
BBB,2014B,1,72,126,6
BBB,2014B,1,78,232,5
BBB,2014B,1,66,107,1
BBB,2014B,1,67,217,1
BBB,2014B,1,69,235,5
BBB,2014B,1,80,49,5
BBB,2014B,1,61,192,3
BBB,2014B,1,62,127,2
BBB,2014B,1,80,111,9
BBB,2014B,1,77,120,1
BBB,2014B,1,79,87,3
BBB,2014B,1,69,63,5
BBB,2014B,1,66,56,9
BBB,2014B,1,73,74,3
BBB,2014B,1,67,200,3
BBB,2014B,1,78,151,7
BBB,2014B,1,67,89,1
BBB,2014B,1,63,117,9
BBB,2014B,1,69,48,2
BBB,2014B,1,72,164,7
BBB,2014B,1,69,89,2
BBB,2014B,1,64,199,8
BBB,2014B,1,73,76,5
BBB,2014B,1,76,99,4
BBB,2014B,1,61,143,8
BBB,2014B,1,64,175,8
BBB,2014B,1,77,29,8
BBB,2014B,1,63,132,5
BBB,2014B,1,73,11,1
BBB,2014B,1,68,100,6
BBB,2014B,1,65,211,9
BBB,2014B,1,80,146,9
BBB,2014B,1,70,197,5
BBB,2014B,1,67,109,8
BBB,2014B,1,62,165,5
BBB,2014B,1,71,164,4
BBB,2014B,1,73,151,1
BBB,2014B,1,74,121,2
BBB,2014B,1,78,7,7
BBB,2014B,1,68,53,6
BBB,2014B,1,67,218,3
BBB,2014B,1,78,181,6
BBB,2014B,1,66,128,8
BBB,2014B,1,77,17,8
BBB,2014B,1,70,131,9
BBB,2014B,1,79,205,4
BBB,2014B,1,77,82,6
BBB,2014B,1,80,179,3
BBB,2014B,1,67,17,1
BBB,2014B,1,70,147,4
BBB,2014B,1,66,44,1
BBB,2014B,1,71,104,4
EEE,2014B,2,182,164,2
EEE,2014B,2,181,12,9
EEE,2014B,2,199,33,9
EEE,2014B,2,190,6,3
EEE,2014B,2,193,148,6
EEE,2014B,2,195,132,1
